0x5B74C1C4 sceNetInetRecvmsg
0x06164313 sceNetInetPoll
0x407AFE71 sceNetInetGetErrno
0x3ECC94ED sceNetResolverWaitAsync
0xA6BAF6E2 sceNetResolverStartNtoAAsync
0x4BB4E7CD sceNetResolverStartNtoA
0x8149A39E sceNetResolverCreate
0x292D26B3 sceNetResolverPollAsync
0x7F12C192 sceNetResolverTerm
0xECC409AB sceNetResolverStartAtoN
0x147E20EA sceNetResolverStop
0x8155A761 sceNetResolverDelete
0x47BFD853 sceNetResolverStartAtoNAsync
0xA14F2F00 sceNetResolverInit
0x2C7D75D6 sceJpegMJpegCsc
0xC792F1AC sceJpegDecodeMJpeg
0x4AB1BA7B sceJpegDecodeMJpegYCbCrSuccessively
0x7D2F38C6 sceJpegDeleteMJpeg
0xA6F032AC sceJpegDecodeMJpegSuccessively
0xFDA3B861 sceJpegCsc
0xB7309295 sceJpegFinishMJpeg
0x4DDCBA01 sceJpegGetOutputInfo
0x940966CF sceJpegDecodeMJpegYCbCr
0xE3402B9B sceJpegCreateMJpeg
0x9510A833 sceJpegInitMJpeg
0x221F3E93 sceNetAoiStart
0x97E67F67 sceNetAoiDeletePeer
0x488B0CB1 sceNetAoiAddPeer
0x8BED1000 sceNetAoiTerm
0x66FB36DC sceNetAoiStop
0xA3690192 sceNetAoiInit
0xA5E1648F sceNetConfigDownInterface
0x028A2AE8 sceKernelSetVTimerTimeWide
0x0292F213 sceKernelClearEventFlag
0x082C8499 sceKernelCancelFpl
0x0E3E51C1 sceKernelGetSystemTime
0x13FEBA1D sceKernelStopVTimer
0x140E60AE sceKernelCancelAlarm
0x1B72D6E1 sceKernelReferSystemStatus
0x1BBD8DA6 sceKernelNotifyCallback
0x1BFD1F04 sceKernelCreateMbx
0x22E03C49 sceKernelDeleteMsgPipe
0x239C46FA sceKernelDeleteVTimer
0x24DAA1B1 sceKernelGetVTimerBaseWide
0x2A526739 sceKernelPollSema
0x2A9174DF sceKernelGetVTimerTimeWide
0x2B14134B sceKernelReferMutexStatus
0x2BDB16AF sceKernelGetVTimerTime
0x2C30ADE0 sceKernelCancelReceiveMbx
0x2F258E90 sceKernelCancelVpl
0x424E2CEF sceKernelReferFplStatus
0x5017E6F3 sceKernelGetCallbackCount
0x5405BBCB sceKernelCancelSema
0x544893B0 sceKernelDeleteVpl
0x642CE20C sceKernelCreateFpl
0x64484B96 sceKernelSignalSema
0x66DF0735 sceKernelSetVTimerTime
0x67833E69 sceKernelDeleteCallback
0x6C61CBE6 sceKernelCancelEventFlag
0x6F6672CC sceKernelCheckCallback
0x7099166C sceKernelTryLockMutex
0x72C23FE2 sceKernelPollEventFlag
0x72F6C547 sceKernelSetEventFlag
0x7C2A23B1 sceKernelCreateEventFlag
0x7DAA3C0A sceKernelDeleteFpl
0x8157034B sceKernelGetSystemTimeWide
0x8D736E71 sceKernelReferEventFlagStatus
0x8F222AFB sceKernelGetVTimerBase
0x92DE3D78 sceKernelSysClock2USecWide
0x9472D30E sceKernelUSec2SysClockWide
0x94F2B226 sceKernelDeleteSema
0x96CA4859 sceKernelDeleteEventFlag
0x99FFFBBD sceKernelUnlockMutex
0x9C8DA9A7 sceKernelUSec2SysClock
0x9F5456D6 sceKernelCreateVpl
0xA3EE272B sceKernelCancelMsgPipe
0xAE28FEED sceKernelGetSystemTimeLow
0xB0E52038 sceKernelCreateVTimer
0xB25D632D sceKernelCancelMutex
0xC06BAA0D sceKernelCreateMsgPipe
0xCDFD4A57 sceKernelSysClock2USec
0xD28726F2 sceKernelReferVplStatus
0xD3F36ED5 sceKernelCancelCallback
0xED080932 sceKernelReferMsgPipeStatus
0xF3CAF3EA sceKernelStartVTimer
0xF3CCB5EC sceKernelCancelVTimerHandler
0xF4323F1D sceKernelDeleteMutex
0xF8C39F65 sceKernelDeleteMbx
0x0E1FEFD1 sceNetApDialogDummyTerm
0x3D3D8744 sceNetApDialogDummyGetState
0xEB1D107A sceNetApDialogDummyInit
0x2A92BE16 sceNetApDialogDummyConnect
0x2BE3FAF7 sceNetAdhocctlConnect
0x583E2492 sceNetAdhocctlJoinEnterGameMode
0xDFE5DB8C sceNetAdhocctlAddHandler
0x4BE11364 sceNetAdhocctlGetAdhocId
0x3AEEECDD sceNetAdhocctlGetGameModeInfo
0x8C97D0BB sceNetAdhocctlDelHandler
0xDF561F8D sceNetAdhocctlGetState
0xA81C6BE1 sceNetAdhocctlGetNameByAddr
0xD6E76261 sceNetAdhocctlGetPeerInfo
0x583BC768 sceNetAdhocctlGetAddrByName
0xD91757E5 sceNetAdhocctlTerm
0x83CEA261 sceNetAdhocctlCreateEnterGameMode
0x65C85AAB sceNetAdhocctlCreateEnterGameModeMin
0x3D3210E5 sceNetAdhocctlExitGameMode
0x62DD4B7A sceNetAdhocctlGetParameter
0x1B14E54A sceNetAdhocctlInit
0xE7AB2800 sceNetConfigUpInterface
0x71E4D18C sceNetAdhocMatchingInit
0x95FF3C5E sceNetAdhocMatchingStop
0xB051E684 sceNetAdhocMatchingGetPoolMaxAlloc
0xC9847522 sceNetAdhocMatchingSelectTarget
0xD3D4F0F8 sceNetAdhocMatchingTerm
0x7105EFC7 sceNetAdhocMatchingCancelTargetWithOpt
0xC95E3D04 sceNetAdhocMatchingStart
0xECA5F365 sceNetAdhocMatchingGetPoolStat
0xAEE9979E sceNetAdhocMatchingSetHelloOpt
0xD7F475D1 sceNetAdhocMatchingGetHelloOpt
0x94A133D0 sceNetAdhocMatchingGetMembers
0x7F51474A sceNetAdhocMatchingCreate
0x491A537A sceNetAdhocMatchingCancelTarget
0x6235DEB8 sceNetAdhocMatchingAbortSendData
0x1407B2CC sceNetAdhocMatchingDelete
0x1A1EB3A7 sceNetAdhocMatchingSendData
0xA1341489 sceNetAdhocctlScan
0x0315D13D sceNetAdhocctlGetPeerList
0x885EFBFF sceNetAdhocctlDisconnect
0xC200B22B sceNetAdhocctlJoin
0xC97A02A4 sceNetAdhocctlCreate
0xC999058A sceNetAdhocctlGetScanInfo
0x052B6200 sceNetAdhocDiscoverUpdate
0xAA15D0FC sceNetAdhocDiscoverInitStart
0xD04473AC sceNetAdhocDiscoverGetStatus
0x995C1464 sceNetAdhocDiscoverTerm
0x44E90667 sceNetAdhocDiscoverRequestSuspend
0x29D122C3 sceNetAdhocDiscoverStop
0xCC6A57D1 sceNetAdhocGameModeDeleteReplica
0x7DA90FB6 sceNetAdhocPtpClose
0x62727D4F sceNetAdhocGameModeCreateReplica
0xD4F19E8F sceNetAdhocGetSocketAlert
0x8AF24DFF sceNetAdhocPdpCreate
0x6262342F sceNetAdhocSetSocketAlert
0xB842ED5B sceNetAdhocPollSocket
0x840F27D0 sceNetAdhocPdpDelete
0xDE445B68 sceNetAdhocGameModeCreateMaster
0x97E7191C sceNetAdhocPtpOpen
0x75734592 sceNetAdhocPtpRecv
0x928A7CA3 sceNetAdhocGameModeUpdateMaster
0xCEDA8A7E sceNetAdhocPtpFlush
0x353AC70E sceNetAdhocPtpAccept
0x883C9A0C sceNetAdhocGameModeDeleteMaster
0x32EF0D31 sceNetAdhocTerm
0x1DF3E557 sceNetAdhocPdpSend
0x9AD2BDD0 sceNetAdhocGetPtpStat
0xBA0BCBD0 sceNetAdhocGetPdpStat
0x91FC65A0 sceNetAdhocPdpRecv
0xED1F908C sceNetAdhocPtpListen
0x7198DFF5 sceNetAdhocInit
0xC817482F sceNetAdhocGameModeUpdateReplica
0x064AC0B0 sceNetAdhocPtpConnect
0x8F4D0CB7 sceNetAdhocPtpSend
0xA9DE7A08 sceUmdDeactivate
0x500476C8 sceUmdReplacePermit
0xD2BCF262 sceUmdActivate
0x1B65FE4D sceUmdUnRegisterUMDCallBack
0xB49DFA5C sceUmdRegisterUMDCallBack
0x958FB45A sceUmdWaitDriveStat
0xF7C1AE38 sceUmdReplaceProhibit
0x50A3B30F sceUmdGetDriveStat
0xC4B831A1 sceUmdCancelWaitDriveStat
0x2B46331B sceUmdWaitDriveStatWithTimer
0x41462034 sceUmdWaitDriveStatCB
0x2F78871D sceUmdCheckMedium
0x63238DB5 sceUmdGetDiscInfo
0x1AF2DDAC sceUmdGetErrorStat
0x26DF4623 sceUmdSTOP
0x5EF78D0D pemuNetApctlScanSSID2
0x33AEA430 pemuNetApctlGetState
0xCE64918C pemuNetApctlDisconnect
0x0F77AB82 pemuNetApctlGetBSSDescIDList2
0xA9A2A8F3 sceNetApctlGetBSSDescIDList2
0xE35E50BB sceNetApctlScanSSID2
0xDE350CB8 sceNetApctlGetState
0xA40F242E sceNetApctlDisconnect
0x0B50085B sceNetApctlConnect
0x1BE5360C sceNetApctlGetInfo
0x1730E4BD sceNetApctlDelHandler
0x47AEABBA sceNetApctlAddHandler
0xC1915573 sceNetApctlTerm
0xEDE2A227 sceNetApctlInit
0x19DE0569 sceNetApctlGetBSSDescEntry2
0xF9601182 sceNetConfig80211GetBssDesc
0x5FC7EEF2 pemuReferVplStatus
0x7BDE1C3A pemuCtrlTimerAdjust
0x7F54A5A7 pemuNetApctlGetInfo
0x88079540 pemuCreateFpl
0x8B1A0EC0 pemuCheckAdhocTitle_plt
0xA3BEA3E7 pemuCtrlTimerThreadStop
0xA6139569 pemuNetApctlAddHandler
0xA6FF7D93 pemuUnlockMutex
0xB0BFE599 pemuNetApctlConnect
0xB5386C8C pemuCreateMutex
0xB9DCFF21 pemuNetApctlDelHandler
0xBCC3D9D1 pemuRegisterFd_pemu
0xC8907531 pemuUserInfoGetStat
0xD07015C0 pemuFreeVpl
0xD104085A pemuPadGetInfo2
0x75A40688 pemuStartThread
0x6FB9007E pemuDeleteSema
0x6F90BAAD pemuNetInit
0xDC514DB8 pemuNetTerm
0x492F2550 pemuChangeThreadPriority
0x3798BB15 pemuDeleteMbx
0xA45A877B pemuWaitSema
0xD71F327A pemuSignalSema
0xD8E12D93 pemuFreeUmdCache
0xDA3DECE8 pemuFreeFpl
0xE8074E9E pemuDeleteFpl
0xEC5E1DDE pemuCtrlTimerThreadStart
0xEE7EE423 pemuCancelEventFlag
0xB7546274 pemuUtilityNpSigninInitStart
0x58690D2C pemuDeleteMutex
0xE632FDCB pemuDeleteUmdCache
0xE36CDCB6 pemuAllocateFpl
0x48037CB5 pemuDeleteEventFlag_io
0x605390D9 pemuNetApctlGetBSSDescEntry2
0xA6F65354 pemuClearEventFlag
0xA69628A1 pemuCreateMbx
0x978B475E pemuDeleteThread_io
0x5BAEDFB0 pemuStartThread_io
0x6B351173 pemuExitDeleteThread
0x6925D322 pemuUtilityCheckNetParam
0x691F5066 pemuCreateThread
0x86FC8194 pemuGetThreadCurrentPriority
0x2BE7D998 pemuNetInetForBlockingEnd_plt
0x26EE934E pemuSetEventFlag_io
0x5FB63D7E pemuNetApctlTerm
0x09931B84 pemuTryAllocateFpl
0x0AB5F6B8 pemuThreadJoin_plt
